Country,pov1981,pov1982,pov1983,pov1984,pov1985,pov1986,pov1987,pov1988,pov1989,pov1990,pov1991,pov1992,pov1993,pov1994,pov1995,pov1996,pov1997,pov1998,pov1999,pov2000,pov2001,pov2002,pov2003,pov2004,pov2005,pov2006,pov2007,pov2008,pov2009,pov2010,pov2011,pov2012,pov2013,pov2014,pov2015,pov2016,pov2017,pov2018,pov2019,total_since_2011
Norway,66.49,65.23,63.1,59.38,47.75,41.5,40.69,41.73,41.27,39.41,36.22,36.05,35.87,35.62,35.25,29.49,27.44,25.8,23.2,20.24,19.34,17.81,16.75,16.79,14.16,14.34,9.94,10.38,9.34,8.83,7.55,7.37,6.56,6.72,6.92,8.36,7.36,7.56,7.43,7.314444444
United Arab Emirates,0,0,0.6,0.72,1.7,4.5,4.86,6.2,5.29,3.7,4.38,4.75,5.42,5.23,5.02,4.93,4.52,5.24,5.62,4.89,0,0,0,0,0.47,0.49,0.85,1.13,7.17,15.89,14.35,18.12,16.82,12.15,14.89,11.54,6.31,2.3,0.84,10.81333333
Switzerland,15.74,15.74,16.1,16,15.77,15.22,14.73,14.73,14.61,15.04,15.39,16.24,17.42,17.62,17.89,18.11,17.66,17.05,16.48,16.2,14.99,14.24,15.24,15.29,15.59,15.78,15.18,14.52,13.42,13.37,12.08,10.57,11.83,11.56,11.85,11.7,11.53,12.51,12.46,11.78777778
Luxembourg,48.94,48.69,48.44,47.23,44.95,40.27,35.12,28.7,24.95,22.41,18.46,18.43,17.05,13.95,13.47,14.56,15.48,15.14,13.66,12.74,11.88,10.36,10,9.43,8.6,9.46,9.01,10.36,9.53,8.83,12.6,12.93,12.41,10.42,13.99,10.18,13.07,12.74,12.51,12.31666667
Denmark,41.25,39.74,37.75,34.24,30.74,25.24,26.75,28.45,28.39,28.09,26.9,25.24,26.83,22.5,21.75,20.35,18.45,17.5,17.9,18.25,20.01,21.17,22.41,19.49,19.33,18.13,16.38,16.78,17.11,16.21,16.54,16.7,15.97,14.78,13.93,14.35,14.12,12.88,12.62,14.65444444
Iceland,56.39,55.62,59,56.24,53.76,48.72,41.45,43.22,44.34,45.35,43.42,48.08,53.34,51.66,50.27,45.93,40.38,31.15,25.53,23.44,26.73,28.4,24.02,24.08,23.6,16.2,13.46,13.45,20.34,24.14,26.12,24.36,21.4,20.64,15.8,12.25,9.9,9.27,9.42,16.57333333
Sweden,59.48,59.33,62.41,60.25,59.5,57.33,55.49,50,46.22,44.24,41.5,40.5,44.58,44.16,44.5,44.1,42.69,41.4,39.19,35.75,35.72,34.27,33.49,33.13,31.46,27.46,23.31,22.2,21.73,21,20.04,18.75,19.02,17.38,16.46,17.04,15.96,16.62,16.45,17.52444444
Austria,35.5,32.24,28.49,30,28.74,27.74,25.25,25.46,25.59,25.71,26.38,26.3,27.98,28.93,37.75,31.11,30,28.49,27.38,25.66,25.2,25.2,24.44,21.72,22.97,22.3,21.69,20.2,19.75,18.34,20.16,19.98,18.16,19.34,19.59,17.17,17.19,17.55,17.44,18.50888889
Finland,72.49,68.5,66.5,63.99,60.49,56.5,52,44.68,38.87,38.5,41,47.99,53.12,53,50.49,47.6,44.79,41.34,39.04,38.24,36.98,35.99,33.56,30.24,27.33,27.1,24.38,22.69,20.95,20.46,19.52,19.06,19.83,19.52,19.08,18.57,17.79,16.95,16.63,18.55
Netherlands,57,58.74,58,57.72,56.48,53.18,50.72,49.83,44.41,37.49,37.98,39.73,41.48,40.73,39.32,36.6,34.48,31.35,28.25,28.13,28.07,26.94,28.4,28.53,26.47,23.05,19.92,19.5,20.33,20.26,20.2,20.82,22.73,21.94,17.89,16.48,16.62,16.21,15.6,18.72111111